"Acanthamoeba Keratitis: Dose Response Models",1,"CDC. (2012). ""Parasites- Acanthamoeba.""   Retrieved 03/30/2012, 2012, from http://www.cdc.gov/parasites/acanthamoeba/."
"Acanthamoeba spp: Dose Response Models",1,"CDC. (2012). ""Parasites- Acanthamoeba.""   Retrieved 03/30/2012, 2012, from http://www.cdc.gov/parasites/acanthamoeba/. "
"Acanthamoeba spp: Dose Response Models",2,"Culbertson, C. G., P. W. Ensminger, et al. (1966). ""Hatmanella (Acanthamoeba). Experimental Chronic Granulomatuous Brain Infection Produced by New Isolates of Low Virulence."" The American Journal of Clinical Pathology 46(3): 305-314"
Adenovirus,1,"[http://en.wikipedia.org/wiki/Adenoviridae Wiki]"
Adenovirus,3,"Hierholzer J. (1992) Adenoviruses in the Immunocompromised Host. Clinical Microbiology Reviews. 5(3): 262-274. [http://cmr.asm.org/cgi/reprint/5/3/262 Full Text]"
Adenovirus,4,"Lee J, Choi E, and Lee H. (2010) Clinical severity of respiratory adenoviral infection by serotypes in Korean children over 17 consecutive years (1991-2007). Journal of Clinical Virology. 49: 115-120. [http://www.sciencedirect.com.proxy2.cl.msu.edu/science/article/pii/S138665321000274X Full Text] "
Adenovirus,5,"Rosete D, Manjarrez M, and Barron B. (2008) Adenoviruses C in non-hospitalized Mexican children older than five years of age with acute respiratory infection. 103(2): 195-200. [http://www-ncbi-nlm-nih-gov.proxy2.cl.msu.edu/sites/entrez?Db=pubmed&Cmd=Retrieve&list_uids=18425273&dopt=abstractplus Abstract]"
Adenovirus,6," CDC http://www.cdc.gov/adenovirus/index.html "
"Adenovirus Exposure Assessment",1,[http://www.cdc.gov/adenovirus/about/overview.html]
"Adenovirus Exposure Assessment",2,"[http://en.wikipedia.org/wiki/Adenoviridae Wiki]"
"Bacillus anthracis",1,"[http://www.springerlink.com.proxy2.cl.msu.edu/content/136q4u1j54743815/fulltext.pdf Int Care Med]"
"Bacillus anthracis",3,"[http://www.bt.cdc.gov/agent/anthrax/ CDC]"
"Bacillus anthracis",7,"Holty J, Bravata D, Liu H, Olshen R, Mcdonald K, and Owens D. (2006) Systematic Review: A Century of Inhalational Anthrax Cases from 1900 to 2005. Annals of Internal Medicine. 144, 4. 270-280. [http://www.annals.org/content/144/4/270 Full Text]"
"Bacillus anthracis",8,"Bravata D, Holty J, Wang E, Lewis R, Wise P, McDonald K, and Owen D. (2007) Inhalational, Gastrointestinal, and Cutaneous Anthrax in Children. Arch Pediatr Adolesc Med. 161 (9): 896-905.  [http://archpedi.ama-assn.org/cgi/reprint/161/9/896.pdf Full Text]"
"Bacillus anthracis",14,"Kaya A, Tasyaran M, Erol S, Ozkurt Z, and Ozkan B. (2002) Anthrax in Adults and Children: A Review of 132 Cases in Turkey. Eur J Clin Microbiol Infect Dis. 21: 258-261. [http://www.springerlink.com/content/v8ctc3ajmnwxhryn/fulltext.pdf Full Text]"
"Bacillus anthracis",19,"Brookmeyer, R., Johnson, E., & Barry, S. (2005). Modelling the incubation period of anthrax. Statistics in Medicine, 24(4), 531â542. doi:10.1002/sim. [http://www.ncbi.nlm.nih.gov/pubmed/15678407 Full Text]"
"Bacillus anthracis: Dose Response Models",1,"Centers for Disease Control and Prevention (CDC) (2003) Emergency Preparedness and Response: Anthrax Q&A Signs and Symptoms [http://www.bt.cdc.gov/agent/anthrax/faq/signs.asp]"
"Bacillus anthracis: Dose Response Models",2,"Guidi-Rontani, C., Weber-Levy, M. Labruyere, E., Mock, M. (1999) Germination of ''Bacillus anthracis'' Spores Within Alveolar Macrophages. ''Molecular Microbiology'' '''31'''(1):9-17 [http://www.sciencedirect.com/science/article/pii/S0966842X02024228] "
